id,category,difficulty,like
dxFzevarnmcheTX5WfSx,Biology,medium,0
ek6rSV2W97HVU4mBW91z,Culture,hard,0
fEeDlxuJ9ZWgF0HuNUeE,Culture,hard,0
fNwJL9FhLFxh3cHCUNEa,Geography,easy,0
fOcenLO1p3b1HU4Qopqw,Culture,medium,0
fu9bmsHyXra8jhpBqyRC,Biology,easy,0
gEk239lJwWAUp4GgEqPE,Travel,hard,0
gXb0xXSSOzYeZ3IUpqlG,Travel,medium,0
guNXtPVwzumWy24i5dbG,Biology,medium,0
gwfAjg1HVtF3GNydnuSQ,Science,medium,0
hdmN0SCCJz8eQXXSsouf,Biology,hard,0
hgJBoVwKFZkHcwedAvrl,Biology,hard,0
hsoOHaLEoMt2EaAIWXh8,Biology,hard,0
hxhv0sMyfsrnpoo9VPnq,History,medium,0
iOHgzO9IDSJoKvRPVqDT,Biology,easy,0
iaozHnMmfv1kZQ9MGhY7,Geography,medium,0
j3qTldeZAXqLULWuop4g,Biology,medium,0
jhCxppox9JkQnIT19Tvz,Art,hard,0
jpB1doQ07pXNwfx3YWjX,Geography,hard,0
jpOSt0fub6suM88gXJ5j,History,medium,0
jt9ETvNjxtX3f5Ay4K9h,Biology,easy,0
k27grTNsL1y7nDzoZsgK,Culture,easy,0
kWEmJ4UEnb2Aijve4zhJ,History,hard,0
kWH4Hn39fUvdBmO908Yo,Geography,hard,0
l4kBlxawJDDpmXDPk2Zj,Culture,easy,0
l7qdt7uqUyMmpLpelhbF,History,easy,0
m1ygsI1XEBjQJMYFI36I,Culture,medium,0
m7zgqMjK8f3pQ4uYXuHT,Science,hard,0
mAdQ0KcHlsTajIPkcjX0,Travel,easy,0
mOQClTh5oxwoXPIe2MhU,Science,hard,0
mUxU0mdx8GCRMGxl1oeM,Geography,easy,0
neVSfgCEQ2M0OE68FZFs,Biology,easy,0
nee4HID1iJMhoT0uNUeZ,History,medium,0
oJKHT3zbTcjrxPVIjeTh,History,medium,0
oNvAJMn92iLUHwoQdyDR,Culture,easy,0
pa24x8yNeZVBQDRbTeoP,History,easy,0
pg8YJzouwJQcjTpops1b,Art,hard,0
pnXCKQuTvSQ9cpxNk7mc,Science,hard,0
popzaNqUKaCGV2e10yh9,Culture,easy,0
pxEXnwr20Cl5jPn4FpOh,Science,medium,0
pxljpPiVGWtmhsgBnpNB,Science,hard,0
q7RSyYEDrDTjE6XWvpE4,History,hard,0
qyA2FJDfWbrg1bWvc7Aa,Culture,medium,0
rBQOVwIfsIYKSbjdTQRJ,Travel,easy,0
rsVuVikGyl1oV0q4DKEJ,Biology,medium,0
s41HMqB6DU41AhCkzvM9,Travel,easy,0
s9MWI9pe8wGyzYlncQm3,Geography,hard,0
sOIn9WqRfk1TaputNn4O,Biology,medium,0
sXOIo5ql0epUiAo92n05,Science,hard,0
suZVbwNLp2ApjSGhXtTZ,Travel,medium,0
